major_id,major,prospec,Description,Matematika,Sains,Fisika,Sosiologi,Biologi,Kimia,Teknologi,Bisnis dan Ekonomi,Seni,Sastra dan Linguistik,Pendidikan,Hukum,Lingkungan,Kesehatan,Geografi,Komunikasi,Sejarah dan Filsafat,Hukum,highest
1,MANAJEMEN,Manajer,"Manajer adalah individu yang bertanggung jawab untuk mengelola dan memimpin sebuah tim atau departemen dalam sebuah organisasi. Mereka bertanggung jawab untuk merencanakan, mengorganisir, mengarahkan, dan mengontrol kegiatan operasional agar mencapai tujuan perusahaan. Sebagai pemimpin, manajer juga harus mampu memotivasi dan mengembangkan potensi anggota timnya. Prospek kerja bagi seorang manajer sangat baik, terutama bagi mereka yang memiliki kemampuan kepemimpinan yang baik dan mampu mengelola sumber daya secara efisien. Manajer juga memiliki peluang untuk berkembang karir ke posisi manajemen yang lebih tinggi dalam organisasi.",0.3,0,0,0.3,0,0,0.3,0.9,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,8
1,MANAJEMEN,Konsultan,"Konsultan adalah seorang profesional yang memberikan saran dan solusi kepada perusahaan atau individu dalam berbagai bidang, seperti manajemen, keuangan, pemasaran, teknologi informasi, dan lainnya. Mereka membantu klien untuk meningkatkan kinerja bisnis, mengidentifikasi masalah, dan merancang strategi untuk mencapai tujuan yang diinginkan. Prospek kerja konsultan sangat baik karena permintaan akan jasa konsultasi terus meningkat, baik dari perusahaan besar maupun usaha kecil dan menengah. Konsultan juga memiliki kesempatan untuk bekerja secara mandiri atau bergabung dengan perusahaan konsultan terkemuka.",0.3,0,0,0.3,0,0,0.3,0.9,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,8
1,MANAJEMEN,Analis bisnis,"Seorang analis bisnis adalah individu yang bertanggung jawab untuk menganalisis data perusahaan, mengidentifikasi tren, memprediksi kebutuhan bisnis, dan memberikan rekomendasi strategis untuk meningkatkan kinerja perusahaan. Mereka juga bertanggung jawab untuk mengembangkan model bisnis, menyusun laporan analisis, dan bekerja sama dengan tim manajemen untuk mencapai tujuan perusahaan. Prospek kerja untuk analis bisnis sangat baik, karena banyak perusahaan membutuhkan ahli yang mampu mengubah data menjadi wawasan yang berharga untuk mendukung pengambilan keputusan bisnis.",0.3,0,0,0.3,0,0,0.3,0.9,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,8
2,AKUNTANSI,Akuntan,"Akuntan adalah profesi yang bertanggung jawab untuk mengelola dan menyusun laporan keuangan perusahaan, melakukan audit, serta memberikan saran keuangan kepada manajemen. Prospek kerja untuk akuntan sangat baik karena setiap perusahaan membutuhkan jasa akuntan untuk menjaga keuangan mereka tetap teratur dan transparan. Akuntan juga memiliki peluang untuk berkembang karir ke posisi manajemen keuangan atau konsultan keuangan.",0.6,0,0.1,0.1,0.1,0,0.3,0.6,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.3,0.1,0.4,1
2,AKUNTANSI,Auditor,"Auditor adalah seorang profesional yang bertanggung jawab untuk melakukan pemeriksaan terhadap keuangan dan operasi suatu perusahaan atau organisasi. Mereka melakukan audit untuk memastikan kepatuhan terhadap peraturan dan prosedur yang berlaku, serta untuk menemukan potensi risiko dan peluang perbaikan. Prospek kerja seorang auditor sangat baik, karena setiap perusahaan membutuhkan jasa audit untuk memastikan transparansi dan akuntabilitas dalam pengelolaan keuangan dan operasional mereka. Selain itu, dengan semakin kompleksnya regulasi dan persyaratan pelaporan keuangan, permintaan akan auditor yang kompeten dan terlatih terus meningkat.",0.6,0,0.1,0.1,0.1,0,0.3,0.6,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.3,0.1,0.4,1
2,AKUNTANSI,Analis keuangan,"Analis keuangan adalah seorang profesional yang bertanggung jawab untuk menganalisis data keuangan perusahaan, membuat laporan keuangan, dan memberikan rekomendasi untuk meningkatkan kinerja keuangan perusahaan. Mereka juga dapat membantu dalam perencanaan keuangan, pengelolaan risiko, dan pengambilan keputusan investasi. Prospek karir untuk analis keuangan sangat baik karena permintaan akan keahlian keuangan yang kuat terus meningkat di berbagai industri. Karir ini menawarkan peluang untuk pertumbuhan karir yang cepat dan kompensasi yang menarik.",0.6,0,0.1,0.1,0.1,0,0.3,0.6,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.3,0.1,0.4,1
3,ILMU KOMUNIKASI,Public Relations Specialist,"Public Relations Specialist adalah seseorang yang bertanggung jawab untuk membangun hubungan positif antara suatu organisasi dengan publiknya. Mereka merancang strategi komunikasi, mengelola acara promosi, menanggapi pertanyaan dan kritik dari media dan masyarakat, serta memastikan pesan organisasi disampaikan dengan baik kepada target audiens. Prospek kerja Public Relations Specialist cukup baik karena setiap organisasi membutuhkan profesional ini untuk meningkatkan citra dan reputasi mereka di mata publik. Peluang karir dalam bidang ini terbuka luas, baik di sektor swasta maupun pemerintahan.",0.1,0.1,0.1,0.4,0.1,0.1,0.3,0.4,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.9,0.1,0.3,16
3,ILMU KOMUNIKASI,Communication Consultant,"Seorang Communication Consultant adalah seorang profesional yang bertanggung jawab untuk memberikan saran dan strategi komunikasi kepada perusahaan atau organisasi. Mereka membantu dalam mengembangkan pesan yang efektif, merancang kampanye komunikasi, dan memastikan bahwa pesan yang disampaikan sesuai dengan tujuan dan nilai perusahaan. Prospek kerja untuk Communication Consultant cukup baik karena setiap perusahaan membutuhkan ahli komunikasi untuk membantu mereka dalam membangun citra merek dan berkomunikasi dengan pelanggan dan pemangku kepentingan lainnya.",0.1,0.1,0.1,0.4,0.1,0.1,0.3,0.4,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.9,0.1,0.3,16
3,ILMU KOMUNIKASI,Media Planner,"Media Planner adalah seorang profesional yang bertanggung jawab untuk merencanakan strategi pemasaran dan periklanan untuk mencapai target audiens yang tepat melalui berbagai saluran media. Mereka harus memiliki pemahaman yang kuat tentang tren pasar, perilaku konsumen, dan media sosial. Prospek kerja Media Planner sangat baik karena permintaan akan strategi pemasaran yang efektif terus meningkat di era digital ini. Mereka juga memiliki peluang untuk bekerja di berbagai industri seperti periklanan, perusahaan media, dan agensi pemasaran.",0.1,0.1,0.1,0.4,0.1,0.1,0.3,0.4,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.9,0.1,0.3,16
4,PSIKOLOGI,Psikolog,"Psikolog adalah individu yang memiliki pengetahuan dan keterampilan dalam bidang psikologi untuk membantu individu mengatasi masalah psikologis, emosional, dan perilaku. Mereka dapat bekerja di berbagai setting seperti rumah sakit, klinik, sekolah, perusahaan, dan lembaga pemerintah. Prospek kerja psikolog cukup baik karena semakin meningkatnya kesadaran masyarakat akan pentingnya kesehatan mental dan kesejahteraan psikologis. Selain itu, banyak perusahaan yang mulai menyadari pentingnya kesehatan mental karyawan sehingga permintaan akan jasa psikolog juga semakin meningkat.",0.3,0.4,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.8,0.1,0.3,0.3,0.2,14
